onset	duration	sample	trial_type	response_time	stim_file	value
2441.2960000000	n/a	n/a	Test Resp: right,correct	n/a	n/a	S  2
2442.3620000000	n/a	n/a	Test Stim: BC	n/a	n/a	S 23
2443.6440000000	n/a	n/a	Test Resp: right,incorrect	n/a	n/a	S  4
2444.7140000000	n/a	n/a	Test Stim: CD	n/a	n/a	S 34
2446.0280000000	n/a	n/a	Test Resp: right,incorrect	n/a	n/a	S  4
2447.1000000000	n/a	n/a	Test Stim: DB	n/a	n/a	S 42
2448.5440000000	n/a	n/a	Test Resp: right,correct	n/a	n/a	S  2
2449.6020000000	n/a	n/a	Test Stim: AC	n/a	n/a	S 13
2450.6720000000	n/a	n/a	Test Resp: left,correct	n/a	n/a	S  1
2451.7360000000	n/a	n/a	Test Stim: BC	n/a	n/a	S 23
2453.2440000000	n/a	n/a	Test Resp: left,correct	n/a	n/a	S  1
2454.3060000000	n/a	n/a	Test Stim: CD	n/a	n/a	S 34
2455.6320000000	n/a	n/a	Test Resp: left,correct	n/a	n/a	S  1
2456.6900000000	n/a	n/a	Test Stim: BD	n/a	n/a	S 24
2457.9520000000	n/a	n/a	Test Resp: left,correct	n/a	n/a	S  1
2459.0100000000	n/a	n/a	Test Stim: DB	n/a	n/a	S 42
2460.3680000000	n/a	n/a	Test Resp: right,correct	n/a	n/a	S  2
2461.4280000000	n/a	n/a	Test Stim: CB	n/a	n/a	S 32
2463.0080000000	n/a	n/a	Test Resp: left,incorrect	n/a	n/a	S  3
2464.0800000000	n/a	n/a	Test Stim: DA	n/a	n/a	S 41
2464.9000000000	n/a	n/a	Test Resp: right,correct	n/a	n/a	S  2
2465.9640000000	n/a	n/a	Test Stim: AC	n/a	n/a	S 13
2467.0360000000	n/a	n/a	Test Resp: left,correct	n/a	n/a	S  1
2468.1000000000	n/a	n/a	Test Stim: CA	n/a	n/a	S 31
2468.9240000000	n/a	n/a	Test Resp: left,incorrect	n/a	n/a	S  3
2469.9840000000	n/a	n/a	Test Stim: BA	n/a	n/a	S 21
2470.5080000000	n/a	n/a	Test Resp: right,correct	n/a	n/a	S  2
2471.5680000000	n/a	n/a	Test Stim: AC	n/a	n/a	S 13
2472.4920000000	n/a	n/a	Test Resp: left,correct	n/a	n/a	S  1
2473.5540000000	n/a	n/a	Test Stim: AD	n/a	n/a	S 14
2474.3320000000	n/a	n/a	Test Resp: left,correct	n/a	n/a	S  1
2475.3880000000	n/a	n/a	Test Stim: CA	n/a	n/a	S 31
2476.2600000000	n/a	n/a	Test Resp: right,correct	n/a	n/a	S  2
