onset	duration	sample	trial_type	response_time	stim_file	value
1359.4040000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1359.4620000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1361.5460000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
1362.3460000000	n/a	n/a	Trn No Response	n/a	n/a	S105
1364.4500000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
1365.0160000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1365.0820000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1367.1680000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
1367.9680000000	n/a	n/a	Trn No Response	n/a	n/a	S105
1370.0700000000	n/a	n/a	Trn Stim: yellow congru C	n/a	n/a	S113
1370.8700000000	n/a	n/a	Trn No Response	n/a	n/a	S105
1372.9720000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
1373.5400000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1373.6060000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1375.6920000000	n/a	n/a	Trn Stim: yellow incongru B	n/a	n/a	S122
1376.4320000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1376.4920000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1378.5760000000	n/a	n/a	Trn Stim: blue congru C	n/a	n/a	S213
1378.9880000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
1381.0960000000	n/a	n/a	Trn Stim: yellow congru D	n/a	n/a	S114
1381.6880000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1381.7460000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1383.8300000000	n/a	n/a	Trn Stim: yellow incongru C	n/a	n/a	S123
1384.4280000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1384.4980000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1386.5820000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
1387.2160000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1387.2840000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1389.3680000000	n/a	n/a	Trn Stim: yellow congru B	n/a	n/a	S112
1389.9760000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1390.0360000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1392.1200000000	n/a	n/a	Trn Stim: yellow incongru D	n/a	n/a	S124
1392.7840000000	n/a	n/a	Trn Resp: left,correct	n/a	n/a	S101
1392.8540000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1394.9400000000	n/a	n/a	Trn Stim: blue congru A	n/a	n/a	S211
1395.5600000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1395.6240000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1397.7080000000	n/a	n/a	Trn Stim: blue incongru B	n/a	n/a	S222
1398.3360000000	n/a	n/a	Trn Resp: left,incorrect	n/a	n/a	S103
1400.4440000000	n/a	n/a	Trn Stim: blue incongru D	n/a	n/a	S224
1401.0400000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1401.1100000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1403.1960000000	n/a	n/a	Trn Stim: blue congru D	n/a	n/a	S214
1403.7880000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1403.8460000000	n/a	n/a	FB: 0	n/a	n/a	S  9
1405.9300000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
1406.5400000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1406.5980000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1408.6840000000	n/a	n/a	Trn Stim: blue incongru A	n/a	n/a	S221
1409.2840000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1409.3500000000	n/a	n/a	FB: +1	n/a	n/a	S  8
1411.4360000000	n/a	n/a	Trn Stim: blue incongru C	n/a	n/a	S223
1411.9020000000	n/a	n/a	Trn Resp: right,correct	n/a	n/a	S102
1411.9680000000	n/a	n/a	FB: +1	n/a	n/a	S  8
